Date,Id,In-Time,Out-Time
2017-05-31,JARRG0,6:56:33,16:10:38
2017-06-01,JARRG0,7:12:07,16:14:18
2017-06-02,JARRG0,7:17:44,16:11:10
2017-06-05,JARRG0,7:07:34,16:03:09
2017-06-06,JARRG0,6:51:05,16:07:58
2017-06-07,JARRG0,6:55:35,16:01:01
2017-06-08,JARRG0,6:57:07,16:08:12
2017-06-09,JARRG0,6:46:05,17:53:06
2017-06-12,JARRG0,6:32:07,16:12:27
2017-06-13,JARRG0,7:02:29,16:05:07
2017-06-14,JARRG0,6:38:29,16:16:29
2017-06-15,JARRG0,6:49:21,16:05:30
2017-06-16,JARRG0,6:59:50,16:04:27
2017-06-19,JARRG0,7:12:47,16:06:39
2017-06-20,JARRG0,6:53:38,16:02:33
2017-06-21,JARRG0,7:12:47,15:57:33
2017-06-22,JARRG0,7:06:49,16:06:39
2017-06-23,JARRG0,7:07:34,14:52:49
2017-06-24,JARRG0,6:00:32,6:37:08
2017-06-26,JARRG0,7:09:04,16:16:09
2017-06-27,JARRG0,6:59:52,15:51:53
2017-06-28,JARRG0,7:02:41,16:03:03
2017-06-29,JARRG0,7:01:35,16:07:07
2017-06-30,JARRG0,7:00:56,9:16:16
2017-07-03,JARRG0,6:56:16,15:59:14
2017-07-05,JARRG0,6:46:41,15:59:34
2017-07-06,JARRG0,7:03:21,16:12:26
2017-07-07,JARRG0,7:13:06,16:36:34
2017-07-10,JARRG0,7:04:48,16:14:00
2017-07-11,JARRG0,7:12:53,16:17:15
2017-07-12,JARRG0,7:08:53,16:08:39
2017-07-13,JARRG0,7:07:10,16:07:08
2017-07-14,JARRG0,6:59:43,16:00:54
2017-07-17,JARRG0,7:03:51,16:09:19
2017-07-18,JARRG0,6:57:37,16:13:48
2017-07-19,JARRG0,6:49:16,16:09:42
2017-07-20,JARRG0,7:08:30,16:11:01
2017-07-21,JARRG0,7:15:24,17:00:05
2017-07-24,JARRG0,7:06:44,8:31:52
2017-07-25,JARRG0,7:07:14,16:31:00
2017-07-26,JARRG0,7:11:43,16:11:04
2017-07-27,JARRG0,7:11:47,16:10:04
2017-07-28,JARRG0,7:08:59,16:04:51
2017-07-31,JARRG0,7:05:58,16:18:45
2017-08-01,JARRG0,7:14:31,16:05:09
2017-08-02,JARRG0,7:11:59,16:03:46
2017-08-03,JARRG0,7:12:05,16:09:11
2017-08-04,JARRG0,7:14:47,16:15:09
2017-08-06,JARRG0,10:07:48,14:24:25
2017-08-07,JARRG0,7:06:02,16:14:02
2017-08-08,JARRG0,7:17:38,16:04:47
2017-08-09,JARRG0,7:09:00,16:11:27
2017-08-10,JARRG0,7:05:22,15:07:52
2017-08-11,JARRG0,7:12:55,16:09:56
2017-08-13,JARRG0,15:54:49,18:43:11
2017-08-14,JARRG0,7:07:15,16:11:13
2017-08-15,JARRG0,7:01:50,15:28:37
2017-08-16,JARRG0,7:05:16,16:05:28
2017-08-17,JARRG0,7:03:27,16:06:22
2017-08-18,JARRG0,7:06:56,16:01:16
2017-08-19,JARRG0,8:12:40,13:09:17
2017-08-21,JARRG0,7:03:34,16:05:16
2017-08-22,JARRG0,6:53:01,16:13:21
2017-08-23,JARRG0,7:11:17,18:28:57
2017-08-24,JARRG0,7:02:21,16:11:39
2017-08-25,JARRG0,7:05:59,16:16:11
2017-08-28,JARRG0,7:04:44,16:18:47
2017-08-29,JARRG0,7:06:04,16:04:10
2017-08-30,JARRG0,7:10:50,16:02:43
2017-08-31,JARRG0,7:04:52,15:59:55
2017-09-01,JARRG0,7:17:23,15:59:50
2017-09-04,JARRG0,7:08:24,16:06:29
2017-09-05,JARRG0,6:59:55,15:59:34
2017-09-06,JARRG0,6:56:01,16:05:48
2017-09-07,JARRG0,7:00:49,16:04:22
2017-09-08,JARRG0,7:12:08,16:05:16
2017-09-11,JARRG0,7:01:25,14:07:11
2017-09-12,JARRG0,6:45:11,16:09:21
2017-09-13,JARRG0,7:04:43,16:08:29
2017-09-14,JARRG0,7:01:00,16:03:36
2017-09-15,JARRG0,7:08:38,16:02:08
2017-09-18,JARRG0,7:14:38,16:00:50
2017-09-19,JARRG0,6:58:21,16:01:02
2017-09-20,JARRG0,7:07:38,16:12:42
2017-09-22,JARRG0,7:01:15,17:07:06
2017-09-25,JARRG0,7:01:47,16:01:46
2017-09-26,JARRG0,7:10:30,16:03:40
2017-09-27,JARRG0,7:03:06,16:06:09
2017-10-04,JARRG0,6:56:39,12:56:57
2017-10-05,JARRG0,6:59:50,16:14:35
2017-10-06,JARRG0,6:55:41,16:02:22
2017-10-09,JARRG0,6:46:22,16:03:49
2017-10-10,JARRG0,7:06:02,16:01:49
2017-10-11,JARRG0,6:51:44,16:05:35
2017-10-13,JARRG0,7:01:56,15:59:34
2017-10-16,JARRG0,7:08:32,16:00:40
2017-10-17,JARRG0,7:04:59,16:14:50
2017-10-18,JARRG0,6:59:19,16:06:47
2017-10-19,JARRG0,9:03:14,12:22:39
2017-10-24,JARRG0,6:54:36,15:56:59
2017-10-25,JARRG0,7:06:22,15:59:03
2017-10-26,JARRG0,6:47:16,15:58:54
2017-10-27,JARRG0,6:59:06,16:43:03
2017-10-30,JARRG0,7:01:14,15:58:49
2017-10-31,JARRG0,7:09:09,16:10:32
2017-11-01,JARRG0,7:06:40,16:01:36
2017-11-02,JARRG0,7:03:09,15:57:31
2017-11-03,JARRG0,6:50:32,15:58:58
2017-11-06,JARRG0,7:02:14,16:05:02
2017-11-07,JARRG0,7:06:54,16:06:09
2017-11-08,JARRG0,7:12:03,15:08:00
2017-11-09,JARRG0,7:07:31,16:07:15
2017-11-10,JARRG0,6:54:24,16:03:06
2017-11-13,JARRG0,7:00:59,16:02:41
2017-11-14,JARRG0,6:49:45,16:00:14
2017-11-15,JARRG0,6:52:23,16:01:13
2017-11-16,JARRG0,6:54:23,16:01:26
2017-11-17,JARRG0,6:59:04,16:01:13
2017-11-20,JARRG0,7:05:20,16:04:53
2017-11-21,JARRG0,7:01:17,16:04:29
2017-11-22,JARRG0,7:08:11,16:03:53
2017-11-23,JARRG0,7:12:27,16:03:45
2017-11-24,JARRG0,7:02:32,16:02:09
2017-11-27,JARRG0,7:07:32,13:34:21
2017-11-28,JARRG0,7:00:57,16:02:43
2017-11-29,JARRG0,7:04:50,12:36:30
2017-11-30,JARRG0,7:29:36,7:45:17
2017-12-05,JARRG0,7:00:27,16:02:52
2017-12-06,JARRG0,7:03:05,16:02:21
2017-12-08,JARRG0,6:59:48,15:58:52
2017-12-11,JARRG0,6:01:00,16:02:11
2017-12-12,JARRG0,7:00:00,16:06:05
2017-12-13,JARRG0,7:07:27,16:00:24
2017-12-14,JARRG0,7:05:32,16:14:49
2017-12-15,JARRG0,6:58:18,16:00:37
2017-12-17,JARRG0,14:42:34,17:24:58
2017-12-18,JARRG0,7:06:15,11:16:17
2017-12-19,JARRG0,7:16:29,16:03:06
2017-12-20,JARRG0,6:58:18,15:59:34
2017-12-21,JARRG0,6:55:07,16:04:28
2017-12-22,JARRG0,7:08:41,16:02:07
2017-12-25,JARRG0,7:06:58,16:00:10
2017-12-26,JARRG0,7:05:39,16:03:38
2017-12-27,JARRG0,7:03:48,16:00:18
2017-12-28,JARRG0,7:07:48,16:02:01
2017-12-29,JARRG0,7:00:08,16:02:19
2017-05-22,FS1339,9:18:53,18:25:36
2017-05-23,FS1339,9:26:01,18:21:31
2017-05-24,FS1339,9:17:23,18:22:32
2017-05-25,FS1339,9:14:00,18:45:30
2017-05-26,FS1339,9:18:56,19:07:52
2017-05-29,FS1339,9:12:37,18:35:35
2017-05-30,FS1339,9:17:37,18:22:36
2017-05-31,FS1339,9:22:59,18:15:58
2017-06-01,FS1339,9:17:40,17:19:46
2017-06-02,FS1339,9:21:52,18:15:43
2017-06-06,FS1339,9:20:35,18:34:08
2017-06-07,FS1339,9:11:53,18:40:41
2017-06-08,FS1339,9:15:35,19:06:12
2017-06-09,FS1339,9:16:08,18:21:13
2017-06-12,FS1339,9:06:16,18:38:18
2017-06-13,FS1339,9:07:19,18:15:17
2017-06-14,FS1339,7:41:15,18:17:59
2017-06-15,FS1339,9:11:27,18:54:48
2017-06-16,FS1339,9:02:01,18:14:30
2017-06-19,FS1339,9:12:08,18:14:42
2017-06-20,FS1339,9:16:00,19:26:13
2017-06-21,FS1339,9:23:28,19:39:47
2017-06-22,FS1339,9:49:20,18:10:00
2017-06-23,FS1339,9:18:22,19:07:06
2017-06-26,FS1339,9:50:24,17:05:26
2017-06-28,FS1339,9:30:56,18:57:57
2017-06-30,FS1339,9:17:09,18:48:01
2017-07-03,FS1339,9:23:50,18:17:05
2017-07-04,FS1339,9:28:52,18:14:42
2017-07-05,FS1339,9:28:44,18:22:02
2017-07-06,FS1339,9:37:18,18:26:25
2017-07-07,FS1339,9:28:46,17:29:09
2017-07-10,FS1339,9:18:13,18:09:01
2017-07-11,FS1339,9:19:23,18:16:21
2017-07-12,FS1339,9:25:24,18:26:38
2017-07-13,FS1339,9:22:04,18:25:00
2017-07-14,FS1339,9:44:01,18:12:08
2017-07-17,FS1339,10:07:11,18:59:30
2017-07-18,FS1339,9:15:50,18:27:22
2017-07-19,FS1339,9:25:56,18:42:47
2017-07-20,FS1339,9:27:50,18:41:15
2017-07-21,FS1339,9:27:47,18:32:40
2017-07-24,FS1339,9:28:15,19:36:29
2017-07-25,FS1339,9:13:46,18:17:33
2017-07-26,FS1339,9:46:24,18:33:43
2017-07-27,FS1339,9:20:23,18:25:31
2017-07-28,FS1339,9:24:58,18:17:55
2017-08-01,FS1339,9:14:15,18:38:26
2017-08-02,FS1339,9:17:54,18:30:25
2017-08-03,FS1339,9:17:07,19:29:08
2017-08-04,FS1339,9:30:25,18:31:19
2017-08-07,FS1339,9:07:55,18:24:48
2017-08-08,FS1339,9:23:43,18:18:19
2017-08-09,FS1339,9:34:24,18:14:19
2017-08-10,FS1339,9:15:13,18:18:32
2017-08-11,FS1339,9:22:19,18:19:32
2017-08-14,FS1339,9:08:01,16:26:34
2017-08-16,FS1339,9:14:07,18:13:37
2017-08-18,FS1339,12:30:55,18:32:08
2017-08-21,FS1339,9:24:23,18:17:40
2017-08-22,FS1339,9:21:53,18:14:28
2017-08-23,FS1339,9:23:39,15:09:01
2017-08-24,FS1339,9:17:20,18:18:14
2017-08-25,FS1339,9:20:08,18:20:40
2017-08-28,FS1339,10:29:02,18:08:17
2017-08-29,FS1339,9:20:06,18:21:36
2017-08-30,FS1339,9:49:07,18:52:21
2017-08-31,FS1339,9:34:06,18:07:52
2017-09-01,FS1339,9:24:18,18:11:02
2017-09-04,FS1339,9:23:15,18:07:02
2017-09-05,FS1339,9:23:37,18:45:43
2017-09-07,FS1339,9:16:23,18:39:54
2017-09-08,FS1339,9:26:32,18:02:45
2017-09-11,FS1339,10:46:48,18:18:21
2017-09-12,FS1339,9:17:03,18:03:07
2017-09-13,FS1339,9:27:58,18:47:26
2017-09-14,FS1339,9:21:29,17:17:33
2017-09-15,FS1339,9:32:13,18:08:03
2017-09-19,FS1339,9:37:04,18:19:04
2017-09-20,FS1339,9:35:39,18:05:45
2017-09-22,FS1339,9:20:08,18:34:02
2017-09-25,FS1339,9:24:12,18:05:46
2017-09-26,FS1339,9:25:54,18:15:33
2017-09-27,FS1339,9:28:20,18:00:20
2017-10-03,FS1339,9:22:40,18:17:07
2017-10-04,FS1339,9:27:49,18:07:16
2017-10-06,FS1339,9:28:29,18:14:01
2017-10-09,FS1339,9:26:30,18:09:40
2017-10-10,FS1339,9:23:34,18:24:10
2017-10-11,FS1339,11:10:27,18:12:18
2017-10-12,FS1339,9:31:23,18:09:08
2017-10-13,FS1339,9:23:19,18:22:42
2017-10-16,FS1339,9:39:24,16:49:38
2017-10-17,FS1339,9:34:48,18:15:36
2017-10-18,FS1339,9:30:20,18:04:58
2017-10-24,FS1339,9:27:48,18:13:10
2017-10-25,FS1339,9:20:54,18:12:31
2017-10-26,FS1339,9:22:51,18:44:38
2017-10-27,FS1339,9:23:56,17:02:23
2017-10-30,FS1339,9:35:15,18:09:26
2017-10-31,FS1339,9:24:08,18:07:07
2017-11-01,FS1339,9:44:50,18:13:11
2017-11-02,FS1339,9:24:07,17:00:27
2017-11-03,FS1339,9:24:14,18:18:07
2017-11-07,FS1339,9:25:27,21:17:23
2017-11-08,FS1339,9:28:59,18:05:22
2017-11-09,FS1339,9:34:58,18:11:56
2017-11-10,FS1339,9:25:29,18:16:10
2017-11-13,FS1339,9:48:06,18:13:46
2017-11-14,FS1339,9:26:06,18:16:23
2017-11-15,FS1339,9:16:46,18:05:16
2017-11-16,FS1339,9:25:48,18:16:56
2017-11-20,FS1339,9:18:27,16:05:54
2017-11-21,FS1339,9:25:20,18:35:25
2017-11-22,FS1339,9:26:15,18:24:56
2017-11-23,FS1339,9:31:35,18:20:45
2017-11-24,FS1339,9:32:18,16:55:56
2017-11-27,FS1339,9:24:30,18:31:43
2017-11-28,FS1339,9:12:14,18:15:59
2017-11-29,FS1339,9:33:02,19:15:03
2017-11-30,FS1339,10:02:41,18:44:25
2017-12-01,FS1339,9:26:43,19:11:52
2017-12-04,FS1339,9:34:27,18:43:57
2017-12-05,FS1339,9:26:53,18:35:09
2017-12-06,FS1339,9:33:55,19:01:18
2017-12-08,FS1339,9:24:03,18:41:35
2017-12-12,FS1339,9:40:46,18:51:48
2017-12-13,FS1339,9:39:56,19:07:30
2017-12-14,FS1339,9:42:38,18:54:11
